Date,Time(UT),Lat,Long,Depth,Mag

01/18/08,0:36:09,55.829,-128.65,1.0g,3.2ML
01/18/08,14:40:31,55.944,-129.756,5.0g,3.1ML
02/11/08,10:12:04,57.4,-125.547,1.0g,4.1ML
03/05/08,2:59:39,56.25,-120.717,13.1*,3.3ML
03/05/08,11:42:20,62.116,-124.053,1.0g,3.2ML
03/11/08,0:39:46,62.374,-124.516,5.0g,3.3ML
03/29/08,15:38:12,62.002,-124.015,1.0g,3.5ML
04/16/08,14:38:24,56.583,-122.237,1.0g,3.1ML
04/16/08,19:44:54,56.532,-122.344,5.0g,3.5ML
04/23/08,5:49:58,56.291,-120.659,1.0g,3.1ML
05/16/08,4:28:19,56.518,-122.085,1.0g,2.7ML
05/23/08,4:15:51,61.157,-128.946,1.0g,2.4ML
06/06/08,2:46:47,62.193,-124.16,10.0g,3.1ML
06/07/08,5:04:00,57.858,-126.05,5.0g,2.5ML
06/12/08,18:38:50,60.986,-117.875,35.0g,3.8ML
06/30/08,9:55:26,55.994,-130.046,1.0g,2.4ML
08/03/08,4:14:45,54.926,-121.158,29.7*,2.0ML
08/13/08,14:31:17,56.553,-122.686,15.0g,2.6ML
08/25/08,1:05:28,62.261,-123.997,1.0g,3.3ML
09/17/08,1:48:48,61.827,-126.156,1.0g,2.8ML
09/18/08,7:15:40,61.998,-126.478,1.0g,3.0ML
